movie_name,distributor,release_date,release_year,total_audience,log_total_audience,detail_url,genre,runtime_minutes,is_domestic,language,rating
Hayat Öpücüğü,CGV Mars,9 Ekim 2015,2015,218521,12.294637398739344,https://boxofficeturkiye.com/film/hayat-opucugu--2012906,Romantik-Komedi,101,1,Turkish,Genel İzleyici Kitlesi.
Evim,TME,27 Mart 2015,2015,202333,12.217670133925711,https://boxofficeturkiye.com/film/evim--2011853,"Animasyon, 3 Boyutlu",94,0,Foreign,Genel İzleyici Kitlesi.
Hitman: Ajan 47,TME,21 Ağustos 2015,2015,198677,12.199435669449544,https://boxofficeturkiye.com/film/hitman-ajan-47--2012343,"Gerilim, Suç, Aksiyon",96,0,Foreign,13 yaş ve üzeri izleyici kitlesi içindir.
Jupiter Yükseliyor,WB,6 Şubat 2015,2015,197021,12.19106560102363,https://boxofficeturkiye.com/film/jupiter-yukseliyor--2011795,"Bilim-Kurgu, 3 Boyutlu",127,0,Foreign,7 yaş ve üzeri izleyici kitlesi içindir.
Kafes,ChF,2 Ekim 2015,2015,196444,12.188132682397509,https://boxofficeturkiye.com/film/kafes--2012857,Dram,117,1,Turkish,13 yaş ve üzeri izleyici kitlesi içindir.
Ajan,TME,12 Haziran 2015,2015,181708,12.110156282033634,https://boxofficeturkiye.com/film/ajan--2012089,Komedi,119,0,Foreign,13 yaş ve üzeri izleyici kitlesi içindir.
Sihirbazlık Okulunda Bir Türk,Pin.,22 Mayıs 2015,2015,181279,12.107792559918286,https://boxofficeturkiye.com/film/sihirbazlik-okulunda-bir-turk--2012724,Komedi,91,1,Turkish,7 yaş ve üzeri izleyici kitlesi içindir.
Casuslar Köprüsü,TME,27 Kasım 2015,2015,189719,12.153299309052052,https://boxofficeturkiye.com/film/casuslar-koprusu--2012676,"Gerilim, Dram",142,0,Foreign,7 yaş altı izleyici kitlesi aile eşliğinde izleyebilir.
Bir Varmış Bir Yokmuş,CGV Mars,6 Mart 2015,2015,177518,12.086827291206822,https://boxofficeturkiye.com/film/bir-varmis-bir-yokmus--2012471,"Dram, Romantik",105,1,Turkish,15 yaş ve üzeri izleyici kitlesi içindir.
Kingsman: Gizli Servis,TME,13 Mart 2015,2015,174459,12.069445035997836,https://boxofficeturkiye.com/film/kingsman-gizli-servis--2011829,"Macera, Aksiyon",129,0,Foreign,15 yaş ve üzeri izleyici kitlesi içindir.
